statenme,stateabb,styear,endyear
Kyrgyzstan,KYR,1991,2024
Uzbekistan,UZB,1991,2024
Kazakhstan,KZK,1991,2024
China,CHN,1860,2024
Mongolia,MON,1921,2024
Taiwan,TAW,1949,2024
Korea,KOR,1887,1905
North Korea,PRK,1948,2024
South Korea,ROK,1949,2024
Japan,JPN,1860,1945
Japan,JPN,1952,2024
India,IND,1947,2024
Bhutan,BHU,1971,2024
Pakistan,PAK,1947,2024
Bangladesh,BNG,1971,2024
Myanmar,MYA,1948,2024
Sri Lanka,SRI,1948,2024
Maldives,MAD,1965,2024
Nepal,NEP,1920,2024
Thailand,THI,1887,2024
Cambodia,CAM,1953,2024
Laos,LAO,1953,2024
Vietnam,DRV,1954,2024
Republic of Vietnam,RVN,1954,1975
Malaysia,MAL,1957,2024
Singapore,SIN,1965,2024
Brunei,BRU,1984,2024
Philippines,PHI,1946,2024
Indonesia,INS,1949,2024
East Timor,ETM,2002,2024
Australia,AUL,1920,2024
Papua New Guinea,PNG,1975,2024
New Zealand,NEW,1920,2024
Vanuatu,VAN,1981,2024
Solomon Islands,SOL,1978,2024
Kiribati,KIR,1999,2024
Tuvalu,TUV,2000,2024
Fiji,FIJ,1970,2024
Tonga,TON,1999,2024
Nauru,NAU,1999,2024
Marshall Islands,MSI,1991,2024
Palau,PAL,1994,2024
Federated States of Micronesia,FSM,1991,2024
Samoa,WSM,1976,2024
